question_id,approval_status,reviewer_notes,year,exam,question_number,question,option_a,option_b,option_c,option_d,correct_option,subject,quality_score,source_pdf,source_pages,topic,sub_topic,section_title,evidence_excerpt,explanation,takeaway
"ca-2025-16a1e2cb9ae8","pending","","2025","PT365 Current Affairs 2025","11","With reference to UNESCO's World Network of Biosphere Reserves (WNBR), consider the following statements:
1. The Man and the Biosphere (MAB) Programme was launched as an outcome of the 1992 Earth Summit.
2. The designation of a site to the WNBR is made by the Director-General of UNESCO using the Seville Strategy.
3. At present, all the Biosphere Reserves notified by the Government of India are recognized under the WNBR.

How many of the statements given above are correct?","Only one","Only two","All three","None","A","Environment","85","7033094643_PT365 Environment_w.pdf","9,10","Biodiversity","UNESCO Biosphere Reserves and WPA 1972","UNESCO's World Network of Biosphere Reserves (WNBR) & Cold Desert BR","WNBR (launched 1976) is managed by UNESCO's Man and the Biosphere (MAB) Programme (launched 1971). Designations are made by the Director-General of UNESCO following MAB ICC decisions, using the Seville Strategy. India has 13 Biosphere Reserves recognized under WNBR.","Statement 1 is incorrect: The MAB Programme was launched in 1971, long before the 1992 Earth Summit. Statement 2 is correct: Designations to the WNBR are made by the Director-General of UNESCO following MAB ICC decisions, utilizing the Seville Strategy. Statement 3 is incorrect: India has 13 Biosphere Reserves recognized under the WNBR, which does not include all of its notified Biosphere Reserves.","The WNBR is managed by the MAB Programme (launched in 1971). Designations are guided by the Seville Strategy, and only a subset (13) of India's Biosphere Reserves are currently recognized under the WNBR."
"ca-2025-576326bbe285","pending","","2025","PT365 Current Affairs 2025","12","The ""Seville Strategy"", sometimes mentioned in the news, is primarily related to the:","designation and management of the World Network of Biosphere Reserves","identification of Globally Important Agricultural Heritage Systems","criteria for recognizing Wetlands of International Importance","framework for reducing emissions from deforestation and forest degradation","A","Environment","85","7033094643_PT365 Environment_w.pdf","9,10","Biodiversity","UNESCO Biosphere Reserves and WPA 1972","UNESCO's World Network of Biosphere Reserves (WNBR) & Cold Desert BR","Designation is by the UNESCO Director-General via the MAB ICC using the Seville Strategy.","The Seville Strategy is the foundational framework used by the MAB International Coordinating Council (ICC) and the UNESCO Director-General for the designation and management of the World Network of Biosphere Reserves (WNBR).","The Seville Strategy provides the criteria and framework for designating sites to UNESCO's World Network of Biosphere Reserves."
"ca-2025-72e123591f2d","pending","","2025","PT365 Current Affairs 2025","13","Consider the following statements regarding the Wildlife (Protection) Act, 1972 and its amendments:
1. The National Board for Wildlife is a statutory body chaired by the Union Minister of Environment, Forest and Climate Change.
2. The Chief Wild Life Warden is empowered to permit the hunting of Schedule I animals if they pose a threat to human life.
3. The translocation of Schedule I animals requires prior permission from the Central Government.
How many of the above statements are correct?","Only one","Only two","All three","None","B","Environment","85","7033094643_PT365 Environment_w.pdf","10","Biodiversity","UNESCO Biosphere Reserves and WPA 1972","Wildlife Protection Act (WPA), 1972 and 2022 Amendments","It establishes bodies like the National Board for Wildlife (chaired by PM) and WCCB. Sections 11 and 12 allow the Chief Wild Life Warden to permit hunting of Schedule I and II animals in specific cases (e.g., threat to human life, disease). Translocation requires Central Government permission for Schedule I animals.","Statement 1 is incorrect: The National Board for Wildlife is established under the Act and is chaired by the Prime Minister, not the Union Environment Minister. Statement 2 is correct: Under Sections 11 and 12, the Chief Wild Life Warden can permit the hunting of Schedule I and II animals if they are dangerous to human life or diseased beyond recovery. Statement 3 is correct: The translocation of Schedule I animals requires prior permission from the Central Government.","The National Board for Wildlife is chaired by the PM. Hunting of Schedule I animals is allowed under strict exceptions (threat to life/disease) authorized by the Chief Wild Life Warden, while their translocation requires Central Government permission."
"ca-2025-4251bab48bd0","pending","","2025","PT365 Current Affairs 2025","14","Consider the following statements regarding the Convention on Biological Diversity (CBD):
1. It was adopted at the 1992 Rio Earth Summit and India is a party to it.
2. Its objectives are limited to the conservation of biological diversity and the sustainable use of its components.
3. A Multilateral Mechanism for the use of Digital Sequence Information (DSI) was adopted at the CBD COP16.
How many of the above statements are correct?","Only one","Only two","All three","None","B","Environment","85","7033094643_PT365 Environment_w.pdf","11","Biodiversity","Biological Diversity Act and ABS Regulations","International Framework: CBD, Bonn Guidelines, and Nagoya Protocol","The Convention on Biological Diversity (CBD) is a 1992 Rio Earth Summit treaty with 196 members, including India. Its goals are conservation, sustainable use, and fair benefit-sharing... Multilateral Mechanism for DSI use adopted at CBD COP16 (2024).","Statement 1 is correct: The CBD was adopted at the 1992 Rio Earth Summit and India is a member state. Statement 2 is incorrect: The CBD has three main goals: conservation, sustainable use, and the fair and equitable sharing of benefits arising from genetic resources. It is not limited to just the first two. Statement 3 is correct: A Multilateral Mechanism for the use of Digital Sequence Information (DSI) was adopted at CBD COP16 in 2024.","The CBD is built on three pillars: conservation, sustainable use, and fair benefit-sharing. Recent developments include the adoption of a Multilateral Mechanism for DSI at COP16."
"ca-2025-11f2b4f0ed0a","pending","","2025","PT365 Current Affairs 2025","15","Consider the following statements regarding the Biological Diversity Act, 2002:
1. Its scope is broader than that of the Nagoya Protocol as it covers all biological resources within India.
2. The National Biodiversity Authority (NBA) established under the Act possesses the powers of a civil court.
3. It establishes a three-tier statutory framework for biodiversity governance in India.

Which of the statements given above are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3","D","Environment","85","7033094643_PT365 Environment_w.pdf","12","Biodiversity","Biological Diversity Act and ABS Regulations","India's Legal Framework on ABS (Biological Diversity Act, 2002)","The Biological Diversity Act, 2002 covers all biological resources within India, broader than the Nagoya Protocol's scope. It features a three-tier statutory system: National Biodiversity Authority (NBA) with civil court powers, State Biodiversity Boards (SBBs), and Biodiversity Management Committees (BMCs) at the local level.","Statement 1 is correct: The Biological Diversity Act, 2002 covers all biological resources within India, making its scope broader than that of the Nagoya Protocol. Statement 2 is correct: The National Biodiversity Authority (NBA) possesses the powers of a civil court. Statement 3 is correct: The Act is implemented through a three-tier statutory system consisting of the NBA at the central level, State Biodiversity Boards (SBBs) at the state level, and Biodiversity Management Committees (BMCs) at the local level.","India's biodiversity governance operates on a three-tier statutory framework (NBA, SBBs, BMCs), with the central body (NBA) wielding civil court powers. Its scope is notably broader than the Nagoya Protocol as it encompasses all biological resources in the country."
"ca-2025-978c3e33c29c","pending","","2025","PT365 Current Affairs 2025","16","Consider the following fauna:
1. Snow Leopard
2. Asiatic Lion
3. Gangetic River Dolphin
4. Sloth Bear
How many of the above are currently included in the Species Recovery Programme under the Integrated Development of Wildlife Habitats (IDWH) Scheme?","Only one","Only two","Only three","All four","C","Environment","88","7033094643_PT365 Environment_w.pdf","12","Biodiversity","Biological Diversity Act and ABS Regulations","CSS-Integrated Development of Wildlife Habitats Scheme (CSS-IDWH)","22 species are included, with Gharial and Sloth Bear recently recommended... 22 species currently included, such as Snow Leopard, Asiatic Lion, and Gangetic River Dolphin.","The Snow Leopard, Asiatic Lion, and Gangetic River Dolphin are among the 22 species currently included in the Species Recovery Programme. The Sloth Bear (along with the Gharial) has only been recommended for inclusion and is not yet formally part of the 22 species.","The Species Recovery Programme under IDWH currently covers 22 critically endangered species. It is important to distinguish between species already covered and those recently recommended for inclusion, such as the Gharial and Sloth Bear."
"ca-2025-30f2ee7fcc85","pending","","2025","PT365 Current Affairs 2025","17","Consider the following statements regarding the Integrated Development of Wildlife Habitats (IDWH) Scheme:
1. It is a Central Sector Scheme administered by the Ministry of Environment, Forest and Climate Change.
2. It provides financial assistance for wildlife conservation exclusively within designated Protected Areas.
3. Project Tiger and Project Elephant are key components of this scheme.
How many of the above statements are correct?","Only one","Only two","All three","None","A","Environment","85","7033094643_PT365 Environment_w.pdf","12","Biodiversity","Biological Diversity Act and ABS Regulations","CSS-Integrated Development of Wildlife Habitats Scheme (CSS-IDWH)","CSS-IDWH is a Centrally Sponsored Scheme under MoEFCC for wildlife protection. It provides financial assistance to State/UTs for Protected Areas, wildlife outside protected areas... Key components include Development of Wildlife Habitats, Project Tiger, and Project Elephant.","Statement 1 is incorrect: IDWH is a Centrally Sponsored Scheme, not a Central Sector Scheme. Statement 2 is incorrect: The scheme provides financial assistance for Protected Areas, wildlife outside protected areas, and recovery programmes for critically endangered species. Statement 3 is correct: Key components of the scheme include the Development of Wildlife Habitats, Project Tiger, and Project Elephant.","IDWH is a Centrally Sponsored Scheme that funds wildlife conservation both inside and outside Protected Areas, and integrates major initiatives like Project Tiger and Project Elephant."
"ca-2025-19a0ccc49bed","pending","","2025","PT365 Current Affairs 2025","18","Consider the following statements regarding the Sloth Bear:

1. It is a solitary and nocturnal animal that specializes in a diet of termites and ants.
2. Unlike other bear species, it does not hibernate.
3. It is listed as 'Endangered' on the IUCN Red List and placed in Schedule I of the Wildlife Protection Act, 1972.

How many of the above statements are correct?","Only one","Only two","All three","None","B","Environment","88","7033094643_PT365 Environment_w.pdf","12","Biodiversity","Biological Diversity Act and ABS Regulations","Species Profile: Sloth Bear","Specializes in eating termites and ants and does not hibernate unlike other bears. It is solitary, nocturnal... Conservation Status: WPA 1972 Schedule I, CITES Appendix I, IUCN Vulnerable (VU).","Statement 1 is correct: The Sloth Bear is solitary, nocturnal, and specializes in eating termites and ants. Statement 2 is correct: Unlike other bears, it does not hibernate. Statement 3 is incorrect: While it is placed in Schedule I of the WPA 1972, it is classified as Vulnerable (VU) on the IUCN Red List, not Endangered.","Sloth bears are nocturnal, non-hibernating insectivores native to the Indian subcontinent, listed as Vulnerable by the IUCN and protected under Schedule I of the WPA 1972."
"ca-2025-6a84a0260227","pending","","2025","PT365 Current Affairs 2025","19","With reference to the conservation and distribution of the Sloth Bear, consider the following statements:

1. It is endemic to the tropical rainforests of the Western Ghats and Sri Lanka.
2. Daroji Sloth Bear Sanctuary, Asia's first dedicated sanctuary for the species, is located in Karnataka.
3. Project Sloth Bear was initiated in the year 2025 to focus on the conservation of the species.

How many of the above statements are correct?","Only one","Only two","All three","None","B","Environment","85","7033094643_PT365 Environment_w.pdf","12","Biodiversity","Biological Diversity Act and ABS Regulations","Species Profile: Sloth Bear","Native to forests and grasslands of India, Nepal, and Sri Lanka. Daroji Sloth Bear Sanctuary in Karnataka is the first dedicated sloth bear sanctuary in Asia. Project Sloth Bear initiated in 2025.","Statement 1 is incorrect: Sloth bears are native to the forests and grasslands of India, Nepal, and Sri Lanka; they are not endemic to the Western Ghats. Statement 2 is correct: Daroji Sloth Bear Sanctuary in Karnataka is Asia's first dedicated sloth bear sanctuary. Statement 3 is correct: Project Sloth Bear was initiated in 2025.","Sloth bears are distributed across India, Nepal, and Sri Lanka. Key conservation milestones include the establishment of the Daroji Sanctuary in Karnataka and the initiation of Project Sloth Bear in 2025."
"ca-2025-7d5eb9dc9a65","pending","","2025","PT365 Current Affairs 2025","20","Consider the following features:
1. It is located in the Khathiar-Gir dry deciduous forest ecoregion.
2. The River Chambal flows through this protected area.
3. The Chaturbhuj Nala rock shelters are located within its boundaries.

Which one of the following protected areas is best described by the features given above?","Kuno National Park","Gandhi Sagar Wildlife Sanctuary","National Chambal Sanctuary","Mukundara Hills National Park","B","Environment","95","7033094643_PT365 Environment_w.pdf","13,14","Biodiversity","Project Cheetah and Tiger Conservation","Project Cheetah and Associated Habitats","Gandhi Sagar WLS: Located in MP... features Khathiar-Gir dry deciduous forest, River Chambal, and Chaturbhuj Nala rock shelters.","Gandhi Sagar Wildlife Sanctuary is located in Madhya Pradesh and features the Khathiar-Gir dry deciduous forest, the River Chambal, and the Chaturbhuj Nala rock shelters. The other options are plausible distractors as they are located in the same broader geographical region, but they do not contain all the specific features listed.","Gandhi Sagar WLS in Madhya Pradesh is an important habitat characterized by the River Chambal, Khathiar-Gir dry deciduous forests, and Chaturbhuj Nala rock shelters."
"ca-2025-6bea0aa68e0d","pending","","2025","PT365 Current Affairs 2025","21","Consider the following statements regarding Cheetahs:
1. The Asiatic Cheetah is classified as Critically Endangered, whereas the African Cheetah is classified as Vulnerable by the IUCN.
2. In the wild, the Asiatic Cheetah is currently found only in Iran.
3. Unlike other big cats, cheetahs do not roar.

How many of the above statements are correct?","Only one","Only two","All three","None","C","Environment","85","7033094643_PT365 Environment_w.pdf","13,14","Biodiversity","Project Cheetah and Tiger Conservation","Project Cheetah and Associated Habitats","Asiatic Cheetah: IUCN Critically Endangered... found only in Iran... African Cheetah: IUCN Vulnerable... Cheetahs are the world's fastest mammals and do not roar unlike other big cats.","Statement 1 is correct: The Asiatic Cheetah is Critically Endangered, while the African Cheetah is Vulnerable. Statement 2 is correct: The Asiatic Cheetah is found only in Iran. Statement 3 is correct: Cheetahs are the world's fastest mammals and, unlike other big cats, they do not roar.","The Asiatic Cheetah (Critically Endangered) is restricted to Iran, whereas the African Cheetah (Vulnerable) is found in Africa. Cheetahs are unique among big cats as they cannot roar."
"ca-2025-09587001fd2e","pending","","2025","PT365 Current Affairs 2025","22","Consider the following statements:
1. South Africa holds the largest population of the African Cheetah in the wild.
2. Both the Asiatic and African cheetahs are listed under Appendix I of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES).
3. The Asiatic Cheetah was officially declared extinct in India in 1952.

How many of the above statements are correct?","Only one","Only two","All three","None","B","Environment","85","7033094643_PT365 Environment_w.pdf","13,14","Biodiversity","Project Cheetah and Tiger Conservation","Project Cheetah and Associated Habitats","Asiatic Cheetah: IUCN Critically Endangered, CITES Appendix I, WPA Schedule I; found only in Iran; extinct in India since 1952. African Cheetah: IUCN Vulnerable, CITES Appendix I; Namibia holds the largest population.","Statement 1 is incorrect: Namibia, not South Africa, holds the largest population of the African Cheetah. Statement 2 is correct: Both the Asiatic and African cheetahs are accorded the highest level of protection under CITES, being listed in Appendix I. Statement 3 is correct: The Asiatic Cheetah was officially declared extinct in India in 1952.","While the Asiatic and African cheetahs differ in their IUCN conservation status, both are highly protected under CITES Appendix I. Namibia holds the largest African Cheetah population."
"ca-2025-c331a0265e50","pending","","2025","PT365 Current Affairs 2025","23","The Supreme Court issued directions to protect tiger reserves, banning tiger safaris and night tourism in core/critical habitats.
Safaris are permitted only on non-forest or degraded forest land in buffer zones.
Commercial mining and major hydro projects are prohibited in buffer areas.
With reference to the management of Tiger Reserves and recent Supreme Court directives, consider the following statements:
1. Night tourism and tiger safaris are completely banned in the core areas and designated tiger corridors.
2. In buffer zones, tiger safaris are permitted exclusively on pristine forest lands to promote eco-tourism.
3. Commercial mining and major hydroelectric projects are prohibited in the buffer areas of a tiger reserve.

How many of the above statements are correct?","Only one","Only two","All three","None","B","Environment","88","7033094643_PT365 Environment_w.pdf","14","Biodiversity","Project Cheetah and Tiger Conservation","Tiger Reserves and Supreme Court Directives","SC banned tiger safaris and night tourism in core areas/designated tiger corridors. Safaris are permitted only on non-forest or degraded forest land in buffer zones. Commercial mining and major hydro projects are prohibited in buffer areas.","Statements 1 and 3 are correct: The Supreme Court has banned tiger safaris and night tourism in core areas and designated corridors. Furthermore, commercial mining and major hydroelectric projects are prohibited in buffer areas. Statement 2 is incorrect: Safaris in buffer zones are permitted only on non-forest or degraded forest land, not on pristine forest lands.","Eco-tourism activities like safaris are strictly regulated and pushed towards degraded or non-forest lands within buffer zones to prevent the degradation of intact forest ecosystems."
