year,exam,question_number,question,option_a,option_b,option_c,option_d
2025,UPSC Prelims GS1,32,"Consider the following statements :
Statement I :
At the 28th United Nations Climate Change Conference (COP28), India refrained from signing the 'Declaration on Climate and Health'.
Statement II :
The COP28 Declaration on Climate and Health is a binding declaration; and if signed, it becomes mandatory to decarbonize health sector.
Statement III :
If India's health sector is decarbonized, the resilience of its health-care system may be compromised.
Which one of the following is correct in respect of the above statements?","Both Statement II and Statement III are correct and both of them explain Statement I","Both Statement II and Statement III are correct but only one of them explains Statement I","Only one of the Statements II and III is correct and that explains Statement I","Neither Statement II nor Statement III is correct"
2025,UPSC Prelims GS1,33,"Consider the following statements :
Statement I :
Scientific studies suggest that a shift is taking place in the Earth's rotation and axis.
Statement II :
Solar flares and associated coronal mass ejections bombarded the Earth's outermost atmosphere with tremendous amount of energy.
Statement III :
As the Earth's polar ice melts, the water tends to move towards the equator.
Which one of the following is correct in respect of the above statements?","Both Statement II and Statement III are correct and both of them explain Statement I","Both Statement II and Statement III are correct but only one of them explains Statement I","Only one of the Statements II and III is correct and that explains Statement I","Neither Statement II nor Statement III is correct"
2025,UPSC Prelims GS1,34,"Consider the following statements :
Statement I :
Article 6 of the Paris Agreement on climate change is frequently discussed in global discussions on sustainable development and climate change.
Statement II :
Article 6 of the Paris Agreement on climate change sets out the principles of carbon markets.
Statement III :
Article 6 of the Paris Agreement on climate change intends to promote inter-country non-market strategies to reach their climate targets.
Which one of the following is correct in respect of the above statements?","Both Statement II and Statement III are correct and both of them explain Statement I","Both Statement II and Statement III are correct but only one of them explains Statement I","Only one of the Statements II and III is correct and that explains Statement I","Neither Statement II nor Statement III is correct"
2025,UPSC Prelims GS1,35,"Which one of the following launched the 'Nature Solutions Finance Hub for Asia and the Pacific'?","The Asian Development Bank (ADB)","The Asian Infrastructure Investment Bank (AIIB)","The New Development Bank (NDB)","The International Bank for Reconstruction and Development (IBRD)"
2025,UPSC Prelims GS1,36,"With reference to 'Direct Air Capture', an emerging technology, which of the following statements is/are correct?
I. It can be used as a way of carbon sequestration.
II. It can be a valuable approach for plastic production and in food processing.
III. In aviation, it can be a source of carbon for combining with hydrogen to create synthetic low-carbon fuel.
Select the correct answer using the code given below.","I and II only","III only","I, II and III","None of the above statements is correct"
2025,UPSC Prelims GS1,37,"Regarding Peacock tarantula (Gooty tarantula), consider the following statements :
I. It is an omnivorous crustacean.
II. Its natural habitat in India is only limited to some forest areas.
III. In its natural habitat, it is an arboreal species.
Which of the statements given above is/are correct?","I only","I and III","II only","II and III"
2025,UPSC Prelims GS1,38,"Consider the following statements :
I. Carbon dioxide (CO2) emissions in India are less than 0.5 t CO2/ capita.
II. In terms of CO2 emissions from fuel combustion, India ranks second in Asia-Pacific region.
III. Electricity and heat producers are the largest sources of CO2 emissions in India.
Which of the statements given above is/are correct?","I and III only","II only","II and III only","I, II and III"
2025,UPSC Prelims GS1,39,"Consider the following pairs :
Plant : Description
I. Cassava : Woody shrub
II. Ginger : Herb with pseudostem
III. Malabar spinach : Herbaceous climber
IV. Mint : Annual shrub
V. Papaya : Woody shrub
How many of the above pairs are correctly matched?","Only two","Only three","Only four","All the five"
2025,UPSC Prelims GS1,40,"With reference to the planet Earth, consider the following statements :
I. Rain forests produce more oxygen than that produced by oceans.
II. Marine phytoplankton and photosynthetic bacteria produce about 50% of world's oxygen.
III. Well-oxygenated surface water contains several folds higher oxygen than that in atmospheric air.
Which of the statements given above is/are correct?","I and II","II only","I and III","None of the above statements is correct"
2025,UPSC Prelims GS1,41,"Consider the following types of vehicles :
I. Full battery electric vehicles
II. Hydrogen fuel cell vehicles
III. Fuel cell-electric hybrid vehicles
How many of the above are considered as alternative powertrain vehicles?","Only one","Only two","All the three","None"
2025,UPSC Prelims GS1,42,"With reference to Unmanned Aerial Vehicles (UAVs), consider the following statements :
I. All types of UAVs can do vertical landing.
II. All types of UAVs can do automated hovering.
III. All types of UAVs can use battery only as a source of power supply.
How many of the statements given above are correct?","Only one","Only two","All the three","None"
2025,UPSC Prelims GS1,43,"In the context of electric vehicle batteries, consider the following elements :
I. Cobalt
II. Graphite
III. Lithium
IV. Nickel
How many of the above usually make up battery cathodes?","Only one","Only two","Only three","All the four"
2025,UPSC Prelims GS1,44,"Consider the following :
I. Cigarette butts
II. Eyeglass lenses
III. Car tyres
How many of them contain plastic?","Only one","Only two","All the three","None"
2025,UPSC Prelims GS1,45,"Consider the following substances :
I. Ethanol
II. Nitroglycerine
III. Urea
Coal gasification technology can be used in the production of how many of them?","Only one","Only two","All the three","None"
2025,UPSC Prelims GS1,46,"What is the common characteristic of the chemical substances generally known as CL-20, HMX and LLM-105, which are sometimes talked about in media?","These are alternatives to hydrofluorocarbon refrigerants","These are explosives in military weapons","These are high-energy fuels for cruise missiles","These are fuels for rocket propulsion"
2025,UPSC Prelims GS1,47,"Consider the following statements :
I. It is expected that Majorana 1 chip will enable quantum computing.
II. Majorana 1 chip has been introduced by Amazon Web Services (AWS).
III. Deep learning is a subset of machine learning.
Which of the statements given above are correct?","I and II only","II and III only","I and III only","I, II and III"
2025,UPSC Prelims GS1,48,"With reference to monoclonal antibodies, often mentioned in news, consider the following statements :
I. They are man-made proteins.
II. They stimulate immunological function due to their ability to bind to specific antigens.
III. They are used in treating viral infections like that of Nipah virus.
Which of the statements given above are correct?","I and II only","II and III only","I and III only","I, II and III"
2025,UPSC Prelims GS1,49,"Consider the following statements :
I. No virus can survive in ocean waters.
II. No virus can infect bacteria.
III. No virus can change the cellular transcriptional activity in host cells.
How many of the statements given above are correct?","Only one","Only two","All the three","None"
2025,UPSC Prelims GS1,50,"Consider the following statements :
Statement I :
Activated carbon is a good and an attractive tool to remove pollutants from effluent streams and to remediate contaminants from various industries.
Statement II :
Activated carbon exhibits a large surface area and a strong potential for adsorbing heavy metals.
Statement III :
Activated carbon can be easily synthesized from environmental wastes with high carbon content.
Which one of the following is correct in respect of the above statements?","Both Statement II and Statement III are correct and both of them explain Statement I","Both Statement II and Statement III are correct but only one of them explains Statement I","Only one of the Statements II and III is correct and that explains Statement I","Neither Statement II nor Statement III is correct"
2025,UPSC Prelims GS1,51,"With reference to the Indian polity, consider the following statements :
I. An Ordinance can amend any Central Act.
II. An Ordinance can abridge a Fundamental Right.
III. An Ordinance can come into effect from a back date.
Which of the statements given above are correct?","I and II only","II and III only","I and III only","I, II and III"
2025,UPSC Prelims GS1,52,"Consider the following pairs :
State : Description
I. Arunachal Pradesh : The capital is named after a fort, and the State has two National Parks
II. Nagaland : The State came into existence on the basis of a Constitutional Amendment Act
III. Tripura : Initially a Part 'C' State, it became a centrally administered territory with the reorganization of States in 1956 and later attained the status of a full-fledged State
How many of the above pairs are correctly matched?","Only one","Only two","All the three","None"
2025,UPSC Prelims GS1,53,"With reference to India, consider the following :
I. The Inter-State Council
II. The National Security Council
III. Zonal Councils
How many of the above were established as per the provisions of the Constitution of India?","Only one","Only two","All the three","None"
2025,UPSC Prelims GS1,54,"Consider the following statements :
I. The Constitution of India explicitly mentions that in certain spheres the Governor of a State acts in his/her own discretion.
II. The President of India can, of his/her own, reserve a bill passed by a State Legislature for his/her consideration without it being forwarded by the Governor of the State concerned.
Which of the statements given above is/are correct?","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,55,"Consider the following pairs :
Provision in the Constitution of India : Stated under
I. Separation of Judiciary from the Executive in the public services of the State : The Directive Principles of the State Policy
II. Valuing and preserving of the rich heritage of our composite culture : The Fundamental Duties
III. Prohibition of employment of children below the age of 14 years in factories : The Fundamental Rights
How many of the above pairs are correctly matched?","Only one","Only two","All the three","None"
2025,UPSC Prelims GS1,56,"Consider the following statements :
With reference to the Constitution of India, if an area in a State is declared as Scheduled Area under the Fifth Schedule
I. the State Government loses its executive power in such areas and a local body assumes total administration
II. the Union Government can take over the total administration of such areas under certain circumstances on the recommendations of the Governor
Which of the statements given above is/are correct?","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,57,"With reference to India, consider the following pairs :
Organization : Union Ministry
I. The National Automotive Board : Ministry of Commerce and Industry
II. The Coir Board : Ministry of Heavy Industries
III. The National Centre for Trade Information : Ministry of Micro, Small and Medium Enterprises
How many of the above pairs are correctly matched?","Only one","Only two","All the three","None"
2025,UPSC Prelims GS1,58,"Consider the following subjects under the Constitution of India :
I. List I-Union List, in the Seventh Schedule
II. Extent of the executive power of a State
III. Conditions of the Governor's office
For a constitutional amendment with respect to which of the above, ratification by the Legislatures of not less than one-half of the States is required before presenting the bill to the President of India for assent?","I and II only","II and III only","I and III only","I, II and III"
2025,UPSC Prelims GS1,59,"With reference to the Indian polity, consider the following statements :
I. The Governor of a State is not answerable to any court for the exercise and performance of the powers and duties of his/her office.
II. No criminal proceedings shall be instituted or continued against the Governor during his/her term of office.
III. Members of a State Legislature are not liable to any proceedings in any court in respect of anything said within the House.
Which of the statements given above are correct?","I and II only","II and III only","I and III only","I, II and III"
2025,UPSC Prelims GS1,60,"Consider the following activities :
I. Production of crude oil
II. Refining, storage and distribution of petroleum
III. Marketing and sale of petroleum products
IV. Production of natural gas
How many of the above activities are regulated by the Petroleum and Natural Gas Regulatory Board in our country?","Only one","Only two","Only three","All the four"
2025,UPSC Prelims GS1,61,"Suppose the revenue expenditure is ₹ 80,000 crores and the revenue receipts of the Government are ₹ 60,000 crores. The Government budget also shows borrowings of ₹ 10,000 crores and interest payments of ₹ 6,000 crores. Which of the following statements are correct?
I. Revenue deficit is ₹ 20,000 crores.
II. Fiscal deficit is ₹ 10,000 crores.
III. Primary deficit is ₹ 4,000 crores.
Select the correct answer using the code given below.","I and II only","II and III only","I and III only","I, II and III"
2025,UPSC Prelims GS1,62,"India is one of the founding members of the International North-South Transport Corridor (INSTC), a multimodal transportation corridor, which will connect","India to Central Asia to Europe via Iran","India to Central Asia via China","India to South-East Asia through Bangladesh and Myanmar","India to Europe through Azerbaijan"
2025,UPSC Prelims GS1,63,"Consider the following statements :
Statement I : Of the two major ethanol producers in the world, i.e., Brazil and the United States of America, the former produces more ethanol than the latter.
Statement II : Unlike in the United States of America where corn is the principal feedstock for ethanol production, sugarcane is the principal feedstock for ethanol production in Brazil.
Which one of the following is correct in respect of the above statements?","Both Statement I and Statement II are correct and Statement II explains Statement I","Both Statement I and Statement II are correct but Statement II does not explain Statement I","Statement I is correct but Statement II is not correct","Statement I is not correct but Statement II is correct"
2025,UPSC Prelims GS1,64,"The World Bank warned that India could become one of the first places where wet-bulb temperatures routinely exceed 35 °C. Which of the following statements best reflect(s) the implication of the above-said report?
I. Peninsular India will most likely suffer from flooding, tropical cyclones and droughts.
II. The survival of animals including humans will be affected as shedding of their body heat through perspiration becomes difficult.
Select the correct answer using the code given below.","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,65,"A country's fiscal deficit stands at ₹ 50,000 crores. It is receiving ₹ 10,000 crores through non-debt creating capital receipts. The country's interest liabilities are ₹ 1,500 crores. What is the gross primary deficit?","₹ 48,500 crores","₹ 51,500 crores","₹ 58,500 crores","None of the above"
2025,UPSC Prelims GS1,66,"Which of the following statements with regard to recommendations of the 15th Finance Commission of India are correct?
I. It has recommended grants of ₹ 4,800 crores from the year 2022-23 to the year 2025-26 for incentivizing States to enhance educational outcomes.
II. 45% of the net proceeds of Union taxes are to be shared with States.
III. ₹ 45,000 crores are to be kept as performance-based incentive for all States for carrying out agricultural reforms.
IV. It reintroduced tax effort criteria to reward fiscal performance.
Select the correct answer using the code given below.","I, II and III","I, II and IV","I, III and IV","II, III and IV"
2025,UPSC Prelims GS1,67,"Consider the following statements in respect of the International Bank for Reconstruction and Development (IBRD) :
I. It provides loans and guarantees to middle income countries.
II. It works single-handedly to help developing countries to reduce poverty.
III. It was established to help Europe rebuild after the World War II.
Which of the statements given above are correct?","I and II only","II and III only","I and III only","I, II and III"
2025,UPSC Prelims GS1,68,"Consider the following statements in respect of RTGS and NEFT :
I. In RTGS, the settlement time is instantaneous while in case of NEFT, it takes some time to settle payments.
II. In RTGS, the customer is charged for inward transactions while that is not the case for NEFT.
III. Operating hours for RTGS are restricted on certain days while this is not true for NEFT.
Which of the statements given above is/are correct?","I only","I and II","I and III","III only"
2025,UPSC Prelims GS1,69,"Consider the following countries :
I. United Arab Emirates
II. France
III. Germany
IV. Singapore
V. Bangladesh
How many countries amongst the above are there other than India where international merchant payments are accepted under UPI?","Only two","Only three","Only four","All the five"
2025,UPSC Prelims GS1,70,"Consider the following statements about 'PM Surya Ghar Muft Bijli Yojana' :
I. It targets installation of one crore solar rooftop panels in the residential sector.
II. The Ministry of New and Renewable Energy aims to impart training on installation, operation, maintenance and repairs of solar rooftop systems at grassroot levels.
III. It aims to create more than three lakhs skilled manpower through fresh skilling, and up-skilling, under scheme component of capacity building.
Which of the statements given above are correct?","I and II only","I and III only","II and III only","I, II and III"
2025,UPSC Prelims GS1,71,"""Sedition has become my religion"" was the famous statement given by Gandhiji at the time of","the Champaran Satyagraha","publicly violating Salt Law at Dandi","attending the Second Round Table Conference in London","the launch of the Quit India Movement"
2025,UPSC Prelims GS1,72,"The famous female figurine known as 'Dancing Girl', found at Mohenjo-daro, is made of","carnelian","clay","bronze","gold"
2025,UPSC Prelims GS1,73,"Who provided legal defence to the people arrested in the aftermath of Chauri Chaura incident?","C. R. Das","Madan Mohan Malaviya and Krishna Kant","Dr. Saifuddin Kitchlew and Khwaja Hasan Nizami","M. A. Jinnah"
2025,UPSC Prelims GS1,74,"Subsequent to which one of the following events, Gandhiji, who consistently opposed untouchability and appealed for its eradication from all spheres, decided to include the upliftment of 'Harijans' in his political and social programme?","The Poona Pact","The Gandhi-Irwin Agreement (Delhi Pact)","Arrest of Congress leadership at the time of the Quit India Movement","Promulgation of the Government of India Act, 1935"
2025,UPSC Prelims GS1,75,"Consider the following fruits :
I. Papaya
II. Pineapple
III. Guava
How many of the above were introduced in India by the Portuguese in the sixteenth and seventeenth centuries?","Only one","Only two","All the three","None"
2025,UPSC Prelims GS1,76,"Consider the following countries :
I. United Kingdom
II. Denmark
III. New Zealand
IV. Australia
V. Brazil
How many of the above countries have more than four time zones?","All the five","Only four","Only three","Only two"
2025,UPSC Prelims GS1,77,"Consider the following statements :
I. Anadyr in Siberia and Nome in Alaska are a few kilometers from each other, but when people are waking up and getting set for breakfast in these cities, it would be different days.
II. When it is Monday in Anadyr, it is Tuesday in Nome.
Which of the statements given above is/are correct?","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,78,"Who among the following was the founder of the 'Self-Respect Movement'?","'Periyar' E. V. Ramaswamy Naicker","Dr. B. R. Ambedkar","Bhaskarrao Jadhav","Dinkarrao Javalkar"
2025,UPSC Prelims GS1,79,"Consider the following pairs :
Country : Resource-rich in
I. Botswana : Diamond
II. Chile : Lithium
III. Indonesia : Nickel
In how many of the above rows is the given information correctly matched?","Only one","Only two","All the three","None"
2025,UPSC Prelims GS1,80,"Consider the following pairs :
Region : Country
I. Mallorca : Italy
II. Normandy : Spain
III. Sardinia : France
In how many of the above rows is the given information correctly matched?","Only one","Only two","All the three","None"
2025,UPSC Prelims GS1,81,"Consider the following statements :
Statement I :
Some rare earth elements are used in the manufacture of flat television screens and computer monitors.
Statement II :
Some rare earth elements have phosphorescent properties.
Which one of the following is correct in respect of the above statements?","Both Statement I and Statement II are correct and Statement II explains Statement I","Both Statement I and Statement II are correct but Statement II does not explain Statement I","Statement I is correct but Statement II is not correct","Statement I is not correct but Statement II is correct"
2025,UPSC Prelims GS1,82,"Consider the following statements :
I. Indian Railways have prepared a National Rail Plan (NRP) to create a 'future ready' railway system by 2028.
II. 'Kavach' is an Automatic Train Protection system developed in collaboration with Germany.
III. 'Kavach' system consists of RFID tags fitted on track in station section.
Which of the statements given above are not correct?","I and II only","II and III only","I and III only","I, II and III"
2025,UPSC Prelims GS1,83,"Consider the following space missions :
I. Axiom-4
II. SpaDeX
III. Gaganyaan
How many of the space missions given above encourage and support micro-gravity research?","Only one","Only two","All the three","None"
2025,UPSC Prelims GS1,84,"With reference to India's defence, consider the following pairs :
Aircraft type : Description
I. Dornier-228 : Maritime patrol aircraft
II. IL-76 : Supersonic combat aircraft
III. C-17 Globemaster III : Military transport aircraft
How many of the pairs given above are correctly matched?","Only one","Only two","All the three","None"
2025,UPSC Prelims GS1,85,"Artificial way of causing rainfall to reduce air pollution makes use of","silver iodide and potassium iodide","silver nitrate and potassium iodide","silver iodide and potassium nitrate","silver nitrate and potassium chloride"
2025,UPSC Prelims GS1,86,"Consider the following statements with regard to pardoning power of the President of India :
I. The exercise of this power by the President can be subjected to limited judicial review.
II. The President can exercise this power without the advice of the Central Government.
Which of the statements given above is/are correct?","I only","II only","Both I and II","Neither I nor II"
2025,UPSC Prelims GS1,87,"Consider the following statements :
I. On the dissolution of the House of the People, the Speaker shall not vacate his/her office until immediately before the first meeting of the House of the People after the dissolution.
II. According to the provisions of the Constitution of India, a Member of the House of the People on being elected as Speaker shall resign from his/her political party immediately.
III. The Speaker of the House of the People may be removed from his/her office by a resolution of the House of the People passed by a majority of all the then Members of the House, provided that no resolution shall be moved unless at least fourteen days' notice has been given of the intention to move the resolution.
Which of the statements given above are correct?","I and II only","II and III only","I and III only","I, II and III"
2025,UPSC Prelims GS1,88,"Consider the following statements :
I. If any question arises as to whether a Member of the House of the People has become subject to disqualification under the 10th Schedule, the President's decision in accordance with the opinion of the Council of Union Ministers shall be final.
II. There is no mention of the word 'political party' in the Constitution of India.
Which of the statements given above is/are correct?","I only","II only","Both I and II","Neither I nor II"
